MoisturePercent,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,FatLevel
0.43749562499999994,0,0,4,1,3,1.0
0.44874551249999994,0,3,1,1,3,1.0
0.52499475,0,0,1,0,2,1.0
0.43749562499999994,0,5,1,1,2,1.0
0.467495325,1,3,1,1,3,1.0
0.4499955,0,1,1,0,2,1.0
0.49999499999999997,0,4,7,0,0,1.0
0.362496375,0,0,7,0,2,1.0
0.47499525,0,3,7,0,2,1.0
0.537494625,0,4,7,0,2,1.0
0.562494375,0,1,7,0,2,1.0
0.27499724999999997,1,3,1,1,2,0.0
0.27499724999999997,1,3,1,1,2,0.0
0.26249737500000003,1,2,1,1,2,0.0
0.38749612499999997,1,4,1,1,2,0.0
0.27499724999999997,1,3,7,1,2,0.0
0.38749612499999997,1,4,7,1,2,0.0
0.362496375,0,0,1,0,2,0.0
0.362496375,0,0,1,0,2,0.0
0.362496375,0,0,1,0,2,0.0
0.362496375,0,0,1,0,2,0.0
0.4499955,0,4,1,0,2,1.0
0.41249587499999996,0,0,1,0,2,1.0
0.8499915,0,1,1,0,2,1.0
0.38749612499999997,0,0,1,0,2,1.0
0.337496625,0,3,1,0,3,0.0
0.337496625,0,0,1,0,2,0.0
0.337496625,0,0,1,0,2,0.0
0.37499625000000003,0,0,1,2,2,1.0
0.37499625000000003,0,4,1,1,2,1.0
0.537494625,0,1,1,0,2,1.0
0.599994,0,1,4,0,2,1.0
0.37499625000000003,0,3,4,1,2,0.0
0.537494625,0,4,4,0,0,1.0
0.43836745480301553,0,1,4,0,2,1.0
0.27499724999999997,0,0,1,2,2,0.0
0.43749562499999994,0,3,4,0,2,0.0
0.4499955,0,3,4,1,2,0.0
0.57499425,0,3,4,1,2,1.0
0.399996,0,3,1,0,2,1.0
0.4499955,0,4,1,0,2,0.0
0.43749562499999994,0,5,1,0,2,1.0
0.52499475,0,5,1,0,2,1.0
0.52499475,0,4,1,0,3,1.0
0.34999650000000004,0,0,7,2,2,0.0
0.362496375,0,3,7,2,2,0.0
0.34999650000000004,0,0,7,2,2,0.0
0.2499975,0,2,1,2,2,1.0
0.34999650000000004,0,0,7,2,2,1.0
0.34999650000000004,0,0,7,2,2,0.0
0.32499675000000006,0,3,7,2,2,0.0
0.34999650000000004,0,0,7,2,2,1.0
0.362496375,0,0,7,2,2,0.0
0.337496625,0,0,1,0,2,0.0
